20324037:['customer service', 'analytics', 'team player']
53169257:['needs assessment', 'community health', 'clients']
24588864:['excel', 'mental health', 'powerpoint']
11963737:['telecommunications', 'blood pressure', 'brand management']
13593241:['spanish', 'access', 'approach']
22391901:['inventory', 'merchandising', 'organizing']
10344379:['logistics', 'hand tools', 'recording']
74126637:[]
26071861:['e mail', 'access', 'networking']
24410405:['microsoft outlook', 'phone etiquette', 'phone skills']
14146106:['ces', 'credit card', 'detail oriented']
74191424:['adaptability', 'professionalism', 'honesty and integrity']
10186968:['call center', 'sales', 'funds']
20400279:['microsoft outlook', 'creative problem solving', 'telephone skills']
23427369:['strong verbal skills', 'scheduling', 'excellent written skills']
95714702:['recording', 'features', 'phone']
18997135:['business presentations', 'quality', 'clients']
11773767:['performance reviews', 'project management', 'kronos']
78538268:['hipaa', 'public relations', 'liaison']
13909762:['general office', 'team player', 'excel']
20604208:['networking', 'faxing', 'documentation']
72652441:['quick learner', 'sstrong client relations mediation capability', 'purchasing']
24754689:['financial', 'staff training', 'teaching']
75057933:['tax', 'powerful negotiator', 'team leadership']
19063156:['quick learner', 'access', 'features']
91051945:['international business', 'logistics', 'budgeting and finance']
14176254:['life coaching', 'team player', 'communicator']
22259475:['microsoft outlook', 'high customer service standards', 'documentation']
37560528:['ups worldship and alice', 'microsoft office  word', 'excel']
23577836:['credit card', 'administrative tasks', 'outpatient']
36392131:['training and educating staff on epic wq s', 'idx', 'collect payment over the phone and posting payments in epic']
32965335:['fsa', 'team player', 'lab test']
21614256:['access', 'government', 'excel']
97405769:['detail oriented', 'phone', 'customer satisfaction']
95970987:['family intervention', 'medicaid', 'spanish']
17021141:[]
15337481:['sales', 'dispatch', 'collections']
75950464:['microsoft word power point', 'and printshop', 'knowledge with windows']
19518606:['training', 'team leadership', 'operations management']
15727656:['e mail', 'database', 'documentation']
31242382:['cash handling', 'shipping and receiving', 'careful and active listener']
29173771:['have directors credential', 'effective communication', 'family services']
19108760:['public relations', 'government', 'oncology']
14708590:['great organizational skills', 'computerized and paper claims submission people skills  advanced problem solving', 'healthcare  claims authorization']
77439230:['project management', 'government relations knowledge', 'government']
40088790:['team player', 'expense control', 'public relations']
22042181:['phone system', 'underwriting', 'team collaboration']
29415426:['and administrative skills', 'customer service', 'strong clerical']
37333719:['active listening', 'group facilitation', 'crisis counseling']
15313140:['directing', 'law enforcement', 'delivery']
13072354:['outreach', 'money handling', 'court advocacy']
20544228:['retail', 'inventory control', 'maintain calendar']
30741799:['active listener', 'empathy', 'experienced in working with individuals and groups']
17847636:['e mail', 'heat', 'cpr certified']
80503242:['develop', 'including executive team', 'regarding business initiatives']
26456474:['clinical reimbursement', 'provide patient care', 'injections']
10818478:['interpersonal skills', 'cash handling', 'excellent communication']
24124250:['idx', 'midas', 'relationship and team building']
37640804:['reporting and documentation', 'willingness and rapid ability to learn that results in professional growth and cooperative relationships with colleagues', 'medication administration']
27182111:['performance reviews', 'injections', 'first aid']
11174187:['nurse manager', 'injections', 'tutoring']
47133747:['microsoft outlook', 'food safety', 'approach']
10659182:['first aid', 'written communication', 'recording']
35344611:['financial', 'leadership development', 'customer satisfaction']
13342150:['detail oriented', 'patient focused care', 'time management']
28111403:['employee relations', 'project management', 'regulatory affairs']
34327438:['tax', 'financial', 'office']
15958967:[]
13115648:['client relations   creative problem solving   customer service', 'project management    relationship builder   professional attitude marketing   multi task management', 'academic advisement   team leader    effectivecommunicator']
46772262:['formulate differentials', 'build strong relationships', 'and educate thoroughly']
